city,company,company_finance,company_size,company_type,company_url,date,department,education_requirement,experience_requirement,industry,major_requirement,monthly_salary_range,position_advantage,position_cleaned,position_info,position_tag,posted_url,posted_website,recruit_count,专业要求,公司主页,公司名称,公司性质,公司行业,公司规模,原始URL,发布日期,发布网站,学历,岗位介绍,工作地点,工作性质,招聘人数,经验,职位名称,职位诱惑,薪资,融资阶段,部门
,,,,,,,,,,,,,,,,,,,,,,杭州尊兴网络科技有限公司,民营公司,"计算机软件,互联网, 电子商务",50-150人,http://jobs.51job.com/hangzhou-xhq/95235309.html?s=01&t=0,22/02/2018,前程无忧,本科,,杭州-西湖区,,3.0,2年经验,大数据开发工程师,"五险一金,交通补贴,餐饮补贴,年终奖金,股票期权,弹性工作",10000-25000,,
,,,,,,,,,,,,,,,,,,,,,,安吉智行物流有限公司,合资,"交通, 运输, 物流,汽车及零配件",150-500人,http://jobs.51job.com/shanghai-ypq/97207767.html?s=01&t=0,22/02/2018,前程无忧,本科,"职位信息岗位职责:1.负责大数据平台架构设计，模型设计，搭建，维护等工作；2.分析业务需求，编写需求设计文档并开发实施；3.通过ETL/Cube数据建模，构建基于数据仓库的分析工具；4.学习大数据相关新技术新框架，解决大数据开发中遇到的难题；任职资格:1.熟悉大数据相关组件搭建、应用、优化，如：Mapreduce/Sqoop/Hdfs/Hive/Spark-Streaming/Solr等；2.熟悉SQL和noSQL数据库的设计和开发，如：Oracle/Mysql/Hbase/Mongodb/Redis等；3.熟练使用ETL工具进行数据抽取，清洗，转换，关联等操作；4.熟练使用Linux操作系统,具备编写shell的能力；5.掌握以下语言：Java、Python；6.具有3年以上数据仓库（DW）、商务智能（BI）、大数据等方面的软件或项目开发经验；7.有物流行业项目经验者优先",上海-杨浦区,,1.0,3-4年经验,大数据开发工程师,"五险一金,绩效奖金,年终奖金,专业培训,股票期权",16666-29166,,
,,,,,,,,,,,,,,,,,,,,,,北京思诺博信息技术股份有限公司,合资,计算机软件,150-500人,http://jobs.51job.com/shanghai-cnq/98532377.html?s=01&t=0,22/02/2018,前程无忧,本科,,上海-长宁区,,1.0,3-4年经验,大数据开发工程师,"五险一金,员工旅游,绩效奖金,年终奖金,专业培训,定期体检",15000-20000,,
,,,,,,,,,,,,,,,,,,,,,,360金融,民营公司,"金融, 投资, 证券,互联网, 电子商务",500-1000人,http://jobs.51job.com/beijing-cyq/98371099.html?s=01&t=0,22/02/2018,前程无忧,本科,,北京-朝阳区,,1.0,3-4年经验,大数据开发工程师,,18000-25000,,
,,,,,,,,,,,,,,,,,,,,,,广东铭太信息科技有限公司,民营公司,"计算机软件,会计, 审计",50-150人,http://jobs.51job.com/guangzhou/98484276.html?s=01&t=0,22/02/2018,前程无忧,大专,,广州,,5.0,2年经验,大数据开发工程师,,6000-12000,,
,,,,,,,,,,,,,,,,,,,,,,西藏国路安科技股份有限公司,上市公司,计算机软件,50-150人,http://jobs.51job.com/beijing-hdq/97664624.html?s=01&t=0,22/02/2018,前程无忧,本科,岗位职责：1、负责大数据平台建设和系统功能开发；2、搭建和维护大数据集群，保证集群规模持续、高效平稳运行；3、在架构师的指导下实施扩容、优化方案。任职要求：1.2年以上大数据产品项目开发经验，3-6年以上Java开发经验；有扎实的代码阅读能力。2、精通Hadoop/Spark/Storm/Kafka/Redis等技术，或者精通至少1种大数据产品和技术；3、精通Scala和Java语言开发经验，特别是数据库和多线程开发，熟悉常见的Java开发框架；熟悉JVM和GC优化。4、精通关系型数据库及SQL语言，熟悉NoSQL/JSON/XML。5、有DSP项目经验者优先，有数据仓库项目经验者优先。开源项目贡献者优先。,北京-海淀区,,1.0,3-4年经验,大数据开发工程师,"五险一金,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检",10000-15000,,
,,,,,,,,,,,,,,,,,,,,,,博彦科技（深圳）有限公司,外资（欧美）,计算机软件,500-1000人,http://jobs.51job.com/shenzhen-lhq/92980238.html?s=01&t=0,22/02/2018,前程无忧,大专,1、科及以上学历专，计算机、数学相关专业，5年以上开发经验；2、熟悉分布式系统架构和大数据架构，具备大数据架构设计能力，具有丰富的问题跟踪和解决经验；3、精通分布式平台开发技术，熟悉Hadoop生态圈相关技术（YARN、HDFS、Hive、Spark、Storm、Kafka等)，至少具有3年以上相关项目开发经验；4、精通使用Java、Scala语言，熟悉Linux操作系统；5、精通MySQL、DB2等主流关系型数据库，具有实际开发经验；6、具有强烈的责任心及团队合作精神，良好的分析问题解决问题的能力，具有较强的沟通能力、学习能力和管理能力。优选条件：1、有数据仓库建设经验、云平台设计开发经验尤佳；2、熟悉Python、Shell等脚本语言，有自动化脚本工具经验者可优先考虑；,深圳-罗湖区,,1.0,无工作经验,大数据开发工程师,"五险一金,餐饮补贴,定期体检,年终奖金,交通补贴",15000-25000,,
,,,,,,,,,,,,,,,,,,,,,,上海长庚信息技术有限公司,民营公司,"计算机软件,电气, 电力, 水利",少于50人,http://jobs.51job.com/shanghai/74511090.html?s=01&t=0,22/02/2018,前程无忧,本科,,上海,,1.0,5-7年经验,大数据架构师,"股票期权,五险一金,绩效奖金,提供住宿,专业培训,餐饮补贴,年终奖金",20000-30000,,
,,,,,,,,,,,,,,,,,,,,,,广东德诚科教有限公司,民营公司,"教育, 培训, 院校,计算机服务(系统、数据服务、维修)",150-500人,http://jobs.51job.com/guangzhou/98492875.html?s=01&t=0,22/02/2018,前程无忧,本科,,广州,,1.0,3-4年经验,大数据开发工程师,"绩效奖金,年终奖金,餐饮补贴,定期体检,社会保险",6000-12000,,
,,,,,,,,,,,,,,,,,,,,,,上海分众软件技术有限公司,上市公司,"互联网, 电子商务",150-500人,http://jobs.51job.com/shanghai-cnq/98540225.html?s=01&t=0,22/02/2018,前程无忧,本科,,上海-长宁区,,1.0,3-4年经验,大数据运维工程师,"五险一金,餐饮补贴,专业培训,绩效奖金,年终奖金",15000-20000,,
,,,,,,,,,,,,,,,,,,,,,,徐州瑞马科宝自动化技术有限公司,合资,"机械, 设备, 重工",500-1000人,http://jobs.51job.com/beijing-xcq/98540777.html?s=01&t=0,22/02/2018,前程无忧,本科,,北京-西城区,,1.0,5-7年经验,大数据开发工程师,"五险一金,绩效奖金,专业培训,出国机会,定期体检,股票期权",10000-15000,,
,,,,,,,,,,,,,,,,,,,,,,成都达拓智通科技有限公司,民营公司,"互联网, 电子商务,计算机软件",50-150人,http://jobs.51job.com/hangzhou/98538074.html?s=01&t=0,22/02/2018,前程无忧,大专,,杭州,,2.0,1年经验,"大数据, ","周末双休,弹性工作,带薪年假,五险一金,节日福利,绩效奖金,员工旅游,每年多次调薪",6000-10000,,
,,,,,,,,,,,,,,,,,,,,,,精诚瑞宝计算机系统有限公司,合资,计算机服务(系统、数据服务、维修),500-1000人,http://jobs.51job.com/xiamen/98249871.html?s=01&t=0,22/02/2018,前程无忧,大专,,厦门,,1.0,1年经验,", ","五险一金,绩效奖金,年终奖金,定期体检",6000-8500,,
,,,,,,,,,,,,,,,,,,,,,,好易购家庭购物有限公司,国企,"批发, 零售,影视, 媒体, 艺术, 文化传播",500-1000人,http://jobs.51job.com/hangzhou/82318361.html?s=01&t=0,22/02/2018,前程无忧,本科,主要职责：1、负责公司的主要消费群体及其消费价格区间分布情况等统计分析；2、负责公司的月销售情况及单品销售状况统计分析；3、负责向公司提供商品市场需求情况及商品销售趋势分布情况等预测分析；4、定期向公司商品结构、竞争对手、通路、会员分析等专题报告等。任职资格：1、本科及以上学历，统计学、市场营销学方向；2、具有2年以上销售数据分析工作经验；3、技能要求：1）熟练使用Excel、Powerpoint等Office办公软件；2）能熟练使用SQLServer，从数据库捞取数据；3）熟悉Tableau等可视化软件；4、细致，责任心强，较强的逻辑分析能力和市场敏感度。,杭州,,1.0,3-4年经验,数据分析,"五险一金,年终奖金,餐饮补贴,免费班车,定期体检",6000-12000,,
,,,,,,,,,,,,,,,,,,,,,,钱包生活,民营公司,"计算机软件,互联网, 电子商务",1000-5000人,http://jobs.51job.com/shanghai-mhq/98531562.html?s=01&t=0,22/02/2018,前程无忧,本科,,上海-闵行区,,4.0,5-7年经验,高级数据分析师,"五险一金,补充公积金,餐饮补贴,年终奖金,弹性工作",10000-20000,,
,,,,,,,,,,,,,,,,,,,,,,湖南奇树网络科技有限公司,民营公司,"快速消费品(食品、饮料、化妆品),美容, 保健",150-500人,http://jobs.51job.com/changsha-kfq/98531529.html?s=01&t=0,22/02/2018,前程无忧,,,长沙-开福区,,1.0,无工作经验,数据分析师,"五险,专业培训,通讯补贴,餐饮补贴,员工旅游,交通补贴,绩效奖金,节日福利,年终奖金",6000-10000,,
,,,,,,,,,,,,,,,,,,,,,,上海匹匹扣网络科技有限公司（旅游圈）,民营公司,"互联网, 电子商务,酒店, 旅游",150-500人,http://jobs.51job.com/shanghai-jaq/97727753.html?s=01&t=0,22/02/2018,前程无忧,,,上海-静安区,,1.0,无工作经验,数据分析师,,10000-15000,,
,,,,,,,,,,,,,,,,,,,,,,爱奇艺（www.iqiyi.com）,合资,"互联网, 电子商务",5000-10000人,http://jobs.51job.com/shanghai-cnq/98526366.html?s=01&t=0,22/02/2018,前程无忧,,,上海-长宁区,,2.0,无工作经验,数据分析,"六险一金,弹性工作,12天年假,免费茶饮,餐饮补贴,交通补贴,加班补贴,季度奖金,内购福利,节日福利",7000-12000,,
,,,,,,,,,,,,,,,,,,,,,,快乐购物股份有限公司,国企,"批发, 零售,互联网, 电子商务",1000-5000人,http://jobs.51job.com/changsha/81261931.html?s=01&t=0,22/02/2018,前程无忧,本科,,长沙,,1.0,2年经验,数据分析师,"五险一金,补充医疗保险,员工旅游,年终奖金,绩效奖金,餐饮补贴,定期体检",6000-8000,,
,,,,,,,,,,,,,,,,,,,,,,长沙远望软件技术有限公司,民营公司,计算机软件,50-150人,http://jobs.51job.com/changsha/51963574.html?s=01&t=0,22/02/2018,前程无忧,大专,,长沙,,5.0,无工作经验,数据分析师,"五险一金,绩效奖金",6000-8000,,
,,,,,,,,,,,,,,,,,,,,,,苏州小棉袄信息技术股份有限公司,上市公司,"互联网, 电子商务,计算机服务(系统、数据服务、维修)",150-500人,http://jobs.51job.com/suzhou-gsq/98535120.html?s=01&t=0,22/02/2018,前程无忧,本科,,苏州-姑苏区,,1.0,无工作经验,数据分析师,,5000-10000,,
,,,,,,,,,,,,,,,,,,,,,,四川德仁艺库文化传播有限公司,民营公司,"专业服务(咨询、人力资源、财会),文字媒体, 出版",少于50人,http://jobs.51job.com/chengdu-jnq/98533737.html?s=01&t=0,22/02/2018,前程无忧,大专,,成都-金牛区,,1.0,1年经验,"数据分析师, ","五险一金,交通补贴,专业培训,出国机会,绩效奖金,弹性工作",3000-4500,,
,,,,,,,,,,,,,,,,,,,,,,德联易控科技（北京）有限公司,外资（欧美）,"保险,汽车及零配件",少于50人,http://jobs.51job.com/beijing-cyq/97715258.html?s=01&t=0,22/02/2018,前程无忧,大专,岗位职责：1）进行常规的数据处理、检查与清洗等工作；2）根据公司业务需求，对项目数据进行数据分析、数据挖掘，数据可视化、形成数据产品；3）对项目数据进行建模、模型的选取与优化、模型验证等工作；4）对海量业务数据进行分析，深度挖掘用户行为特征，构建用户的指标体系；5）协助项目负责人从数据分析的角度实现研究目的；6）完成项目计划书的撰写，进行项目的方案设计、问卷设计、报告撰写等研究工作。任职要求：1）至少熟练运用一种数据统计分析软件；2）有调研数据统计分析、数据挖掘、建模工作、市场调研工作经验者优先；3）对数据敏感，有强大的逻辑思维能力；4）性格开朗稳重，勤奋努力，敬业；5）善于思考，学习能力强，具备优异的沟通力及理解力；6）熟练使用word\excel\powerpoint等办公软件。7）有3年以上工作经验,北京-朝阳区,,1.0,3-4年经验,大数据分析师,"五险一金,免费班车,员工旅游,餐饮补贴,专业培训,出国机会,绩效奖金,弹性工作,定期体检",15000-20000,,
,,,,,,,,,,,,,,,,,,,,,,成都顶呱呱投资集团有限公司,民营公司,"专业服务(咨询、人力资源、财会),互联网, 电子商务",1000-5000人,http://jobs.51job.com/chengdu-whq/98530899.html?s=01&t=0,22/02/2018,前程无忧,大专,,成都-武侯区,,2.0,2年经验,数据分析专员,"员工旅游,餐饮补贴,专业培训,绩效奖金,带薪年假,周末双休",4500-6000,,
,,,,,,,,,,,,,,,,,,,,,,北京力鼎创软科技有限公司,民营公司,"计算机软件,互联网, 电子商务",150-500人,http://jobs.51job.com/tianjin-nkq/98535416.html?s=01&t=0,22/02/2018,前程无忧,本科,,天津-南开区,,1.0,2年经验,"数据库工程师, 数据分析工程师, ","五险一金,餐饮补贴,通讯补贴,定期体检",6000-10000,,
,,,,,,,,,,,,,,,,,,,,,,华润置地（成都）商业管理公司,国企,"物业管理, 商业中心",500-1000人,http://jobs.51job.com/chengdu-chq/94288728.html?s=01&t=0,22/02/2018,前程无忧,,岗位职责：1.负责购物中心数据挖掘及数据分析工作，包括营运管理、推广活动、会员管理等各类数据分析，为商场经营及业务发展提供各类数据支持；2.结合公司业务，综合内部、外部数据，规划数据分析项目；3.针对不同专题建立数据分析模型，完善数据分析体系并持续优化；4.负责编制总部/大区/公司要求的各类分析报告。任职资格:1.信息管理、统计学、数学、经济学等相关专业本科及以上学历，有较强的专业能力；2.3年以上零售百货或购物中心相关工作经验；3.良好数据分析能力，熟练使用SPSS、SAS等统计分析软件；4.良好的数据敏感度，能在数据分析中及时发现隐含的变化和问题，给予建议；5.良好的公文写作及文案策划能力；6.较强的商业思维及逻辑思维能力。,成都-成华区,,1.0,无工作经验,数据分析经理,"带薪年假,五险一金,绩效奖金,节日福利,交通补贴,餐饮补贴,通讯补贴,专业培训,全勤奖,周末双休",6000-12000,,
,,,,,,,,,,,,,,,,,,,,,,成都罗卡基建商务信息咨询有限公司,民营公司,专业服务(咨询、人力资源、财会),少于50人,http://jobs.51job.com/chengdu-jjq/98531424.html?s=01&t=0,22/02/2018,前程无忧,本科,,成都-锦江区,,1.0,无工作经验,数据分析,"周末双休,交通补贴,餐饮补贴,通讯补贴,节日福利,五险一金,带薪年假",4500-6000,,
,,,,,,,,,,,,,,,,,,,,,,广东省脐带血造血干细胞库,外资（非欧美）,"制药, 生物工程,医疗, 护理, 卫生",150-500人,http://jobs.51job.com/guangzhou/93702619.html?s=01&t=0,22/02/2018,前程无忧,本科,职位描述：1、销售报表制作，流程质量、绩效等数据统计与分析；2、销售质量问题反馈沟通、结果跟进、验收处理等相关流程执行；3、流程质量原因排查，及时发现优化各流程规范；4、协助上级完成相关验证和改进实验；5、领导交代的其他事项。注：本岗位需要真正熟练运用EXCEL进行销售数据分析、透视图表岗位要求：1、统招本科及以上学历；统计学、数学相关专业优先考虑；2、一年以上数据统计相关工作经验；3、具备较强的数据分析及处理能力，并善于系统学习和工作创新；4、做事认真、细心、负责，有较强的逻辑思维与沟通协调能力；5、熟练运用WORD、PPT、EXCEL（各种函数公式）并进行销售数据分析。【薪资待遇】1、全职：工资+绩效奖金+年终奖金+团队基金+带薪年假；入职即缴纳六险一金；2、实行专业的入职培训（带薪培训：全面的产品知识、岗位技能、管理技能）在职个人提升计划等；3、其他福利：上下班交通车，免费工作日午餐，高温补贴、过节费、员工拓展旅游、书报费、年度体检、工会福利等；4、工作环境：工作环境温馨、舒适，员工之间关系和谐平等，对待新员工关心、友爱；5、企业文化活动：公司部门不定期举行郊游、聚餐、年终晚会、优秀员工表彰会等活动。【工作时间】周一至周五9:00-18:00中午休1小时（周末双休，国家法定节假日休息）根据条件和工作经验待遇从优。应聘咨询电话：（020）82075848-8488彭先生,广州,,1.0,1年经验,"数据分析专员, ","五险一金,免费班车,员工旅游,年终奖金,定期体检,免费午餐,工会福利,高温补贴,节日礼品",4500-8000,,
,,,,,,,,,,,,,,,,,,,,,,平安普惠企业管理有限公司东莞分公司,民营公司,"金融, 投资, 证券,信托, 担保, 拍卖, 典当",10000人以上,http://jobs.51job.com/dongguan/59745277.html?s=01&t=0,22/02/2018,前程无忧,本科,,东莞,,1.0,2年经验,"数据分析, ",,6000-8000,,
,,,,,,,,,,,,,,,,,,,,,,北京路盟科技有限公司,合资,"互联网, 电子商务,通信, 电信, 网络设备",50-150人,http://jobs.51job.com/beijing/97215024.html?s=01&t=0,22/02/2018,前程无忧,本科,我们需要你：1.独立理解商业目标和运营过程，对互联网产品和技术有全面的认识。建立业务分析框架体系，为管理层决策和各业务策略提供有质量的数据支持，并在数据层面上给出定性的业务解读；2.根据业务形态和分析，逐渐积累可供业务产品使用的数据模型逻辑，组织跨部门协调沟通，推进产品及运营实施，确保产品及运营不断完善；3.处理业务相关的复杂专题性需求，并对于常用重要需求转化成例行性监控报表及数据产品。如果你是这样的人：1.数学、统计、计算机软件、管理信息系统、运筹学等相关专业本科或以上学历，大型互联网3-6年数据分析工作经验；2.具有较强的商业敏感度和数据分析技能，能够运用创新且实际的分析方法以解决复杂的商业问题。在负责的业务领域，可以指导初级分析师的工作；3.熟悉SAS、SPSS等统计分析软件，熟悉SQL，熟悉数据挖掘的常用算法；4.具有较强的逻辑性，良好的沟通表达和组织协调能力；5优秀的团队合作精神、诚实、勤奋、严谨。,北京,,1.0,无工作经验,数据分析师,"五险一金,餐饮补贴,弹性工作,定期体检,年终奖金,交通补贴,员工旅游",10000-30000,,
,,,,,,,,,,,,,,,,,,,,,,北京拾品味壹叁壹连锁便利店有限公司,民营公司,快速消费品(食品、饮料、化妆品),50-150人,http://jobs.51job.com/beijing-cyq/98538566.html?s=01&t=0,22/02/2018,前程无忧,大专,,北京-朝阳区,,2.0,2年经验,数据分析主管,,6000-8000,,
,,,,,,,,,,,,,,,,,,,,,,深圳市惠今惠信金融服务有限公司,民营公司,"金融, 投资, 证券,信托, 担保, 拍卖, 典当",1000-5000人,http://jobs.51job.com/chongqing-ybq/98538684.html?s=01&t=0,22/02/2018,前程无忧,,,重庆-渝北区,,3.0,无工作经验,数据分析,"绩效奖金,年终奖金,专业培训,六险一金,周末双休,下午茶,节日费,生日礼金",4000-6000,,
,,,,,,,,,,,,,,,,,,,,,,重庆浪游者科贸有限责任公司,民营公司,"互联网, 电子商务,服装, 纺织, 皮革",50-150人,http://jobs.51job.com/chongqing-yzq/98538253.html?s=01&t=0,22/02/2018,前程无忧,大专,,重庆-渝中区,,1.0,无工作经验,数据分析,"弹性工作,带薪年假,绩效奖金,全勤奖,节日福利,专业培训,交通补贴,餐饮补贴,加班补贴",3000-6000,,
,,,,,,,,,,,,,,,,,,,,,,无锡市迈日机器制造有限公司,民营公司,"机械, 设备, 重工",50-150人,http://jobs.51job.com/wuxi/98479572.html?s=01&t=0,22/02/2018,前程无忧,本科,,无锡,,1.0,3-4年经验,数据分析师,"五险一金,带薪年假,绩效奖金,节日福利",6000-8000,,
,,,,,,,,,,,,,,,,,,,,,,北京昆仑亿发科技股份有限公司,民营公司,"互联网, 电子商务,计算机软件",150-500人,http://jobs.51job.com/beijing/98538909.html?s=01&t=0,22/02/2018,前程无忧,本科,,北京,,1.0,2年经验,高级数据分析师,,15000-20000,,
