,职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
150,数据可视化设计师,,广东省,,无工作经验,,8000-12000,,0,"五险一金,员工旅游,交通补贴,绩效奖金,住房补贴,周末双休",员工福利1.五险一金。优厚底薪+绩效提成。2.按照国家的节假期安排放假，五天制，双休。3.节假日礼物，节日补贴，交通补贴，住房补贴等完善的员工福利待遇。4.定期员工活动，外出旅游。5.定期员工素质和职能专业培训，促进综合素质的提升，鼓励员工内部晋升。6.公司计划上市，优秀员工享有期权分红。7.工作环境优美，1000平一层的高级写字楼办公室。本职位招聘单位：广东影子数据信息科技股份有限公司本职位工作地点：广东省东莞市厚街镇厚街大道18号第12层高级写字楼（喜来登酒店旁）职位描述：1、参与大数据可视化内容的设计、数据图形展现、视觉优化工作；2、负责数据可视化、多媒体展示、交互界面、移动应用等的UI设计；3、参与项目规划、构思创意、用户体验优化。4、理解客户需求，分析用户的使用习惯，设计人机交互界面，优化用户操作体验；5、和项目团队合作提高视觉展示效果岗位要求1、从事可视化设计工作2年以上，熟悉可视化设计流程，对数据可视化界面，工具平台类UI设计具有一定的经验；2、精通2种以上可视化设计工具、语言，PPT能力优秀，熟练掌握AI、PS等设计软件。3、对数据可视化充满热爱，拥有宽广的行业（平面设计、互联网、移动应用）视野与时尚的审美标准，与国际接轨的可视化设计理念4、设计或相关专业大专以上学历，优秀的交流能力，有一定英语能力5、对自己的职业发展有高期许，希望从事有创造力的工作。6、工作态度优秀，对每一件作品有追求。7、面试需提供作品案例。8、有DataV大屏设计作品或者经验者优先。,广州淘研所电子商务有限公司,"互联网, 电子商务",民营公司,,50-150人,,27/12/2017,前程无忧,http://jobs.51job.com/guangdongsheng/96219568.html?s=01&t=0
151,数据可视化工程师,,杭州-滨江区,,无工作经验,,15000-20000,,2,"五险一金,补充医疗保险,补充公积金,专业培训,通讯补贴,餐饮补贴,定期体检,年终奖金,员工旅游,股票期权",岗位职责：1、研究前端前沿技术，探索数据可视化，数据报表，多维分析等领域在数据产品上的应用。2、跟踪数据可视化领域的最新发展，调研相关技术，整理形成专业知识库。3、参与制定公司前端技术规范及流程规范，审核和评估相关方案与设计，以确保其符合架构规划设计，满足业务需求，协同其他大数据开发人员迭代任务。任职要求：1、2年以上前端开发经验，精通Web前端技术。（SVG/HTML/CSS/Javascript/Node.JS等）。2、1年以上数据可视化产品开发经验。3、精通D3、Echarts、Three.js、WebGL等开源数据可视化库和技术。4、具有计算机图形学理论基础，熟悉数据可视化相关基础算法。5、对颜色、形状等视觉元素比较敏感，具有一定的可视化设计能力。6、提交一份大数据可视化作品。,光通天下网络科技有限公司,"计算机服务(系统、数据服务、维修),通信, 电信, 网络设备",民营公司,,150-500人,,27/12/2017,前程无忧,http://jobs.51job.com/hangzhou-bjq/94435015.html?s=01&t=0
152,数据可视化工程师,,上海,,无工作经验,本科,25000-41666,,2,,"岗位职责：1、负责对接业务需求,实现数据的可视化展现；2、根据产品策略及展现逻辑的分析和计算，将展现数据进行提取和整合；3、负责研究新的可视化技术方法，实施产品功能的升级更新。任职要求：1、公办全日制大学本科或以上学历，计算机相关专业；2、通过大学英语4级或具备以上水平，口语及书面表达良好；3、精通计算机编程，熟练掌握C/C++、Python、Java等开发语言，熟悉Tableau等至少一种数据可视化相关技术及工具，有BI经验者优先。",万宝盛华人力资源（中国）有限公司,,"专业服务(咨询、人力资源、财会),多元化业务集团公司",,1000-5000人,,27/12/2017,前程无忧,http://jobs.51job.com/shanghai/92604173.html?s=01&t=0
153,数据可视化工程师,,北京,,无工作经验,本科,8000-20000,,0,"五险一金,餐饮补贴,专业培训,绩效奖金,定期体检","岗位职责：1、负责公司产品的数据可视化项目，与设计师合作，展示数据之美；1、负责数据可视化产品的视觉设计，参与大数据分析产品策划工作；2、利用图形化的工具及手段将相关数据展示应用。3、依据交互设计模式，对数据和展现的交互行为进行设计开发。任职要求：1、统招全日制大学本科学历或以上，计算机相关专业。2、熟悉数据可视化开源方案，有js图形处理相关开发经验；3、有过D3，HighCharts、GoogleCharts、ECharts等经验优先；4.有JavaB/S项目经验，熟悉JSP/Servlet,HTML,JavaScript等处理相关经验优先",北京北大软件工程股份有限公司,计算机软件,国企,,150-500人,,27/12/2017,前程无忧,http://jobs.51job.com/beijing/84951323.html?s=01&t=0
155,数据可视化工程师,,北京-海淀区,,无工作经验,硕士,18000-25000,,2,"五险一金,弹性工作,定期体检,员工旅游,年终奖金,专业培训",、Web数据可视化技术的研究与开发；2、数据相关性分析与根因分析；3、支持客户需求分析和数据分析。岗位要求：1、精通HTML5、NodeJS、ScalaJS、Python、Java等程序设计语言；2、对数据可视化有深入的研究，能够结合业务场景设计出实用的可视化方案，并提供优秀的用户体验；3、熟练掌握多种前端开发框架与语言，包括ReactJS、AngularJS、LESS、SASS等；4、理解数理统计相关知识，能够对数据进行相关性分析、主成分分析；5、具备良好的信息理解能力和沟通技巧，具备一定的抗压能力和团队合作能力。,北京融信数联科技有限公司,"计算机服务(系统、数据服务、维修),互联网, 电子商务",民营公司,,50-150人,,27/12/2017,前程无忧,http://jobs.51job.com/beijing-hdq/96872249.html?s=01&t=0
161,数据可视化工程师,,杭州,,无工作经验,本科,8000-12000,,0,"五险一金,交通补贴,餐饮补贴,通讯补贴,年终奖金,定期体检,补充医疗保险,员工旅游,绩效奖金",1、负责前端大数据可视化方面的研究及开发工作。2、根据给定的业务数据，完成数据的可视化展示，实现较为丰富的数据交互功能。3、负责数据展示类的界面设计、图标设计和创意工作，并参与交互设计和用户体验设计；4、参与产品前期界面视觉用户研究、设计流行趋势分析；3、研究用户需求，进行概念设计，并最终定义产品信息架构、交互及视觉细节；4、独立完成界面相关图形设计工作，能根据数据展现的思路设计对应配套的界面；5、要能够做数据展示类产品的设计。任职资格：1、计算机相关专业大学本科及以上学历，优秀的应届生也可投递此职位；2、熟悉HTML5、CSS3、Javascript、Jquery等前端开发语言，熟练掌握页面架构布局和兼容性调试；3、了解计算机图形学；4、良好的沟通能力及团队合作意识，对工作有高度的工作热情和责任感；5、对数据有比较强的理解能力；6、了解D3.js、zrender、Three.js等前端可视化框架者优先考虑；7、有数据可视化相关的学习经历或工作经验者优先；,杭州天翼智慧城市科技有限公司,"通信, 电信运营、增值服务,互联网, 电子商务",国企,,150-500人,,27/12/2017,前程无忧,http://jobs.51job.com/hangzhou/78736466.html?s=01&t=0
165,数据可视化设计师,,北京-丰台区,,3-4年经验,大专,8000-10000,,0,"五险一金,交通补贴,餐饮补贴",职位描述1、负责数据可视化、多媒体展示、交互界面、移动应用等的UI设计；2、项目相关平面设计、视觉设计；3、参与项目规划、构思创意、用户体验。4、参与数据内容的策划5、和项目团队合作提高视觉展示效果岗位要求1、从事可视化设计工作2年以上，熟悉可视化设计流程，对数据可视化界面，工具平台类UI设计具有一定的经验；2、精通2种以上可视化设计工具、语言，PPT能力优秀，熟练掌握Illustrator、Photoshop等设计软件。3、对数据可视化充满热爱，拥有宽广的行业（平面设计、互联网、移动应用）视野与时尚的审美标准，与国际接轨的可视化设计理念4、设计或相关专业大专以上学历，优秀的交流能力，有一定英语能力5、对自己的职业发展有高期许，希望从事有创造力的工作。6、面试需提供作品案例。,北京新广视通科技有限公司,"专业服务(咨询、人力资源、财会),计算机软件",民营公司,,少于50人,,27/12/2017,前程无忧,http://jobs.51job.com/beijing-ftq/97228228.html?s=01&t=0
171,数据工程师,,苏州-工业园区,,2年经验,本科,8000-10000,,2,"五险一金,绩效奖金,年终奖金,弹性工作,定期体检,员工旅游,专业培训,出国机会",【岗位职责】1、根据不同业务需求沟通协作，利用爬虫工具实现网站的数据采集、数据源归类；2、熟悉爬虫、抓取技术，了解常规网站结构，有使用八爪鱼、前嗅、火车头等爬虫经验优先；3、了解网站反爬虫策略，优化数据采集计划；4、有相当的大数据工作背景知识、可以按照公司的要求梳理数据。【任职要求】职要求：1、本科及以上学历，1-3年相关工作经验；2、熟练掌握HTIP、TCP/IP等网络传输协议工作原理；3、熟悉网页HTML结构代码，了解正则表达式；4、熟悉关系型数据库的使用，例如Mysql等；5、具有网络爬虫相关经验者优先；,苏州拿笛智能科技有限公司,"计算机软件,互联网, 电子商务",民营公司,,50-150人,,27/12/2017,前程无忧,http://jobs.51job.com/suzhou-gyyq/97313287.html?s=01&t=0
174,Python开发工程师,,北京-朝阳区,,无工作经验,,20000-35000,,1,,"职位描述：一、岗位职责:1、负责多个垂直频道的数据抓取工作、研究各种网站、网页、链接的形态，发现它们的特点和规律；2、对抓取的数据进行除重，匹配，过滤等处理；3、网络爬虫工具的设计、开发及优化；4、网页信息抽取等核心算法的研究和优化；5、熟悉网络爬虫原理，设计，实现二、任职条件：1、计算机相关专业，一本院校本科及以上学历；2、3年以上工作经验，其中至少1年爬虫技术领域的工作经验；3、精通Python语言，有go、java等其他语言开发经验者优先，有扎实的数据结构和算法功底；4、理解http，熟悉html,DOM,xpath,scrapy等，精通网页抓取原理及技术、正则表达式，能从结构化的和非结构化的数据中获取信息；5、熟悉爬虫、种子、去重、提取、过滤、分发、DNScache、异步处理等概念和过程；6、熟悉linux开发环境，熟练使用Mysql，熟悉Nosql数据库如mongoDB,Redis等；7、了解Hadoop、Spark等大数据框架和流处理技术者优先。",北京麦达数字技术服务有限公司,"互联网, 电子商务,计算机软件",上市公司,,50-150人,,27/12/2017,前程无忧,http://jobs.51job.com/beijing-cyq/97298876.html?s=01&t=0
176,网站数据抓取专员,,上海-静安区,,无工作经验,,10000-20000,,1,"五险一金,出国机会,弹性工作","工作职责：1.负责传统网页，电商平台等各种网站数据高效采集和解析2.应对常见网站反扒策略3.对数据进行分类整理和分析4.设计策略和算法，提升网页抓取的效率和质量5.负责爬虫系统的升级和维护任职要求：1.半年以上相关工作经验2.熟悉HTTP/1.1协议3.熟悉HTML,DOM,了解CSS,JavaScript4.了解搜索和爬虫开源软件",上海鑫旅伴信息技术有限公司,"互联网, 电子商务",民营公司,,50-150人,,07/11/2017,前程无忧,http://jobs.51job.com/shanghai-jaq/83182794.html?s=01&t=0
179,抓取工程师,,北京-海淀区,,2年经验,,15000-20000,,2,"五险一金,餐饮补贴,弹性工作,定期体检,专业培训,出国机会,绩效奖金,年终奖金,股票期权,免费班车",岗位职责：1、负责网页或者接口数据抓取；2、参与抓取工具的需求分析、设计、开发；3、参与代码设计及相关文档；4、能独立解决开发中遇到的难点问题；5、参与系统稳定性、性能和扩展性调试。任职资格:1、熟悉Java规范以及各种常用的设计模式，对Java语言和面向对象技术有着深厚的功底；2、熟练使用多线程进行编程；3、熟悉JVM工作原理，并能熟练地进行JVM调优；4、对HTTP协议及原理有深入地理解；5、熟练使用HttpClient进行HTTP访问；6、熟练地使用NIO进行socket编程；7、精通正则表达式；8、业务理解力强，数据模型设计功底深厚；9、熟练使用redis等主流非关系型数据库，并拥有较好的非关系型数据库设计能力；10、擅于沟通交流，具有良好的团队合作精神和协作能力；11、良好文档编写能力；12、熟悉常用的linux命令,北京图为先科技有限公司,"计算机软件,互联网, 电子商务",民营公司,,150-500人,,29/11/2017,前程无忧,http://jobs.51job.com/beijing-hdq/95508416.html?s=01&t=0
180,数据抓取爬虫工程师,,北京-海淀区,,1年经验,本科,15000-25000,,5,,岗位职责:任职资格:,搜狐媒体,"互联网, 电子商务",外资（欧美）,,1000-5000人,,05/11/2017,前程无忧,http://jobs.51job.com/beijing-hdq/95549949.html?s=01&t=0
183,数据抓取爬虫工程师,,北京-海淀区,,1年经验,本科,20000-40000,,2,"五险一金,补充医疗保险,弹性工作,绩效奖金,年终奖金,免费班车",岗位职责1、负责构建垂直类爬虫架构，智能抓取系统设计与研发（如抓取调度，多样化抓取，页面解析和结构化抽取，海量数据存储和读取等）2、负责爬虫核心算法的策略优化研究，提升爬虫抓取效率和质量（如调权调度、分析预测、质量判断、封禁与反封禁研究等）3、负责HTTP、AJAX等各类网络请求分析，探索和研究高效的数据抓取解决方案任职资格：1、本科及以上学历，良好的代码能力，扎实的数据结构和算法功底，有快速迭代、逐步优化的工程项目经验2、有良好逻辑思维能力、沟通能力、团队合作精神、学习能力，抗压能力，对挑战性问题充满激情3、熟悉linux和Java开发，熟悉shell/perl/python等脚本语言，熟练掌握正则表达式4、有多线程、网络数据处理经验优先（如HTTP协议，AJAX，爬虫开发，浏览器内核开发，Web服务开发等）5、有大规模分布式海量数据处理经验优先（如Hadoop/Hbase/Spark/Strom/Flink等）,滴滴出行,"互联网, 电子商务",外资（非欧美）,,5000-10000人,,10/11/2017,前程无忧,http://jobs.51job.com/beijing-hdq/95827929.html?s=01&t=0
184,"爬虫, 数据抓取工程师",,重庆,,无工作经验,,6000-10000,,1,,要求：1.负责数据采集（新闻资讯类），实现爬虫和网页信息抽取模块开发和优化2.编写微博、微信等数据抓取程序，提高网页抓取的效率和质量等问题3.熟悉网页抓取原理及技术，有相关项目经验，熟悉爬取过程中相关防爬取技术并提供解决方案4.熟悉SQL数据库基本操作，有大数据平台hadoop、Hbase、redis相关技术经验优先,重庆时报社,"文字媒体, 出版",事业单位,,1000-5000人,,19/12/2017,前程无忧,http://jobs.51job.com/chongqing/93841796.html?s=01&t=0
185,网络数据抓取开发工程师,,南京-建邺区,,2年经验,大专,7000-11000,,1,"五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,定期体检,专业培训,周末双休",一、岗位职责：1.负责系统开发与维护；2.按照项目计划，按时提交高质量代码，完成开发任务；3.规范文档的编写、维护以及其他与项目相关工作；二、任职资格：1.专科及以上学历，1年以上相关网络数据抓取工作经验；2.精通.net编程，熟悉C/S与B/S开发模式，熟悉C#下WPF/Winform、ASP.NET、ADO.NET、WebService等编程技术之一或几种；3.熟悉掌握SQLServer2008或其他版本的相关操作及SQL查询语句构造及优化，熟悉连接ORACLE配置方式；4.独立工作的能力和良好的团队合作精神;5.能够独立进行上级分配任务的功能开发。三、公司福利：1、为员工配备全面社会保险（5险1金），带薪年假，员工旅游，安心工作棒棒哒。2、每个月提供各类补助包括餐食补助、交通补助、通讯补助等。3、每年为员工安排年度体检~我们要健康与事业兼顾！4、逢年过节定期会有各种福利、礼品享不停。5、各种团建活动，年会嗨翻天，抽奖、获奖、礼品多到手软。6、行业资深同事+各类小鲜肉&小清新&美女帅哥多+良好氛围。7、为公司业务发展提供新思路新渠道的创意想法，一经评定将获得丰厚现金奖励。8、公司为当月生日员工发放生日礼金。9、公司为结婚、生子员工准备丰厚的喜庆红包。,南京万购地产信息有限公司,"房地产,互联网, 电子商务",民营公司,,少于50人,,19/12/2017,前程无忧,http://jobs.51job.com/nanjing-jyq/92550328.html?s=01&t=0
186,数据抓取工程师,,北京-朝阳区,,3-4年经验,,16666-25000,,1,"五险一金,餐饮补贴,弹性工作,补充医疗保险,通讯补贴,定期体检,绩效奖金,年终奖金,股票期权,员工旅游",岗位职责：负责公司分布式抓取平台的核心技术研发。不断完善和重构现有爬虫系统，通过对抓取、解析、调度、存储等模块的拆分与优化，构建和完善统一的抓取服务平台。任职要求：1.两年以上互联网工作经验，精通java语言，熟悉linux平台。2.对数据结构和算法设计有较为深刻的理解3.对网络通信、TCP协议有将为深入的理解4.对分布式系统服务有一定构建经验5.具有良好的沟通能力，和良好的团队合作精神。优先：1.有大型爬虫系统研发经验者优先；2.有JavaScript有深入了解的优先3.有安全攻防背景的优先,北京信瑞思企业管理咨询有限公司,"互联网, 电子商务,专业服务(咨询、人力资源、财会)",民营公司,,少于50人,,19/12/2017,前程无忧,http://jobs.51job.com/beijing-cyq/95491142.html?s=01&t=0
187,数据抓取工程师,,北京,,1年经验,本科,8000-10000,,2,,1.负责垂直领域的定向爬虫引擎开发优化工作,北京新联财通咨询有限公司,专业服务(咨询、人力资源、财会),民营公司,,150-500人,,13/12/2017,前程无忧,http://jobs.51job.com/beijing/88213000.html?s=01&t=0
188,爬虫,,成都-青羊区,,1年经验,,4000-8000,,0,,"职位描述：1、根据公司需求，开发网络爬虫；2、负责爬虫系统日常日志监控。3、负责爬虫程序异常处理。4、负责爬虫后数据处理过程系统维护。任职资格：1、计算机相关专业大专以上学历，工作经验一年以上；2、了解Python或者Java相关的网络爬虫工具；3、熟悉网络通信，有网络编程经验；4、熟悉爬虫常用的搜索算法，DFS,BFS等；5、有完整的爬虫项目经验。",成都软易达信息技术有限公司,"计算机软件,计算机服务(系统、数据服务、维修)",民营公司,,50-150人,,21/12/2017,前程无忧,http://jobs.51job.com/chengdu-qyq/80123447.html?s=01&t=0
189,数据抓取工程师,,成都,,无工作经验,本科,15000-20000,,2,"五险一金,交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金,年终奖金,定期体检","职位描述：1、互联网网站，网页，链接的特征挖掘，对指定的多个网站的网页进行网页抓取、数据的提取、清洗、入库；2、开发垂直站点定向抓取程序，持续优化系统已有模块性能；3、对搜索、匹配、同步等后台守护程序进行性能优化等；4、负责系统日常运营资源调度优化及运营指标分析调优，并能实时监控爬虫的进度和警报反馈；5、负责特殊网页采集任务的分析及采集方案设计。任职要求：1、计算机专业，3-5年工作经验，对技术有热忱；2、有类似的Web站点爬取开发经验，熟悉java,http协议；3、熟悉网页抓取原理及技术，熟悉基于Cookie的网站登录原理，熟悉基于正则表达式、Xpath、Css等网页信息抽取技术；4、熟悉多线程，熟悉使用至少一种关系型数据库MySQL、Oracle等，熟悉NoSQl、hbase、Mongo；5、良好的编程风格，对整洁代码有追求；6、良好的沟通能力和团队合作精神。公司目前使用技术：java;j2ee;soa;restfull;dubbo;dubbox;seajs;cmd;amd;docker;spring;springboot;springcloud;springcache;hibernate;zookper;spider;cms;rmi;html5;javascript;angularjs;springmvc;netfilx;quartzcss;bootstrap",四川文轩在线电子商务有限公司,"互联网, 电子商务",国企,,150-500人,,20/12/2017,前程无忧,http://jobs.51job.com/chengdu/78197008.html?s=01&t=0
190,数据抓取工程师,,杭州-滨江区,,5-7年经验,大专,13000-22000,,0,"五险一金,餐饮补贴,通讯补贴,专业培训,绩效奖金,年终奖金","岗位职责：1.完成网页采集任务的分析及采集方案的设计,对海量数据进行智能抽取、校对；2.负责网页抓取和信息提取系统的架构设计及算法实现，开发垂直站点分布式抓取程序，实现对各种网页的解析、提取；3.根据业务需求建立数据仓库，对抓取数据进行清洗等预处理操作；4.负责系统日常运营资源调度优化，调整抓取策略，提升爬虫效率，实时监控爬虫的进度。岗位要求：1.大专及以上学历，JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；2.五年及以上JAVA开发经验，熟悉开源框架，能了解到它的原理和机制；对Spring,ibatis,struts等开源框架熟悉；3.熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；4.掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验；5.掌握Linux操作系统和大型数据库（Oracle、MySql）；对sql优化有丰富的经验；6.学习能力强，责任心强，具有良好的沟通、团队协作、计划和创新的能力。",杭州施强教育科技有限公司,"互联网, 电子商务,计算机软件",民营公司,,150-500人,,26/12/2017,前程无忧,http://jobs.51job.com/hangzhou-bjq/88481166.html?s=01&t=0
191,"爬虫, 数据抓取",,武汉,,2年经验,大专,8000-16000,,0,"五险一金,年终奖金,绩效奖金,专业培训",岗位职责：1）负责开发分布式网络爬虫系统，进行多平台信息的抓取和分析。2）负责网页信息抽取、数据清洗等研发和优化工作。任职资格：1）2年以上爬虫开发经验。2）熟悉Linux平台开发，精通Python/C++/Java三种编程语言中的至少一种，热爱Python编程。3）精通网页抓取原理及技术，精通正则表达式，从结构化的和非结构化的数据中获取信息。4）熟悉MySQL、Redis、MongoDB，有过数据库调优和海量数据存储经验优先。5）具有数据挖掘、自然语言处理、信息检索、机器学习背景者优先。,北京榆钱投资管理有限公司,"互联网, 电子商务,金融, 投资, 证券",民营公司,,50-150人,,25/12/2017,前程无忧,http://jobs.51job.com/wuhan/89123338.html?s=01&t=0
192,爬虫抓取工程师,,深圳-宝安区,,无工作经验,,4500-6000,,2,,"主要采集各大B2B网站数据采用Java或Python等程序设计语言：1、实现微信等社交媒体平台的数据抓取系统，具体包括抓取任务调度、数据抓取(模拟器和Web多种途径)、性能优化算法设计等内容。2、在Hadoop/HDFS分布式计算环境下，实现数据提取、清洗、结构化、入库、统计分析等需求。任职资格：1、熟悉常见数据结构和算法，有一定数理和逻辑基础，能够理解并实现较复杂的算法过程2、有扎实的编程基础，至少能熟练使用一种编程语言（熟悉Java或Python的优先），并有实际工程经验和能力；3、熟悉Linux/Unix平台的开发环境；4、有较强的分析和解决问题能力，学习能力强，善于沟通，有团队合作意识；5、有微博、微信等数据抓取经验优先，对Nutch,Scrapy等开源数据抓取框架者优先；6、了解Android或iOS移动开发基本知识者优先7、有两年或更多相关工作经验的优先。",森态供应链（深圳）股份有限公司,"贸易, 进出口,电子技术, 半导体, 集成电路",民营公司,,150-500人,,08/12/2017,前程无忧,http://jobs.51job.com/shenzhen-baq/88598154.html?s=01&t=0
193,数据抓取,,上海-徐汇区,,2年经验,大专,15000-20000,,0,"五险一金,年终奖金,绩效奖金",职位名称：数据抓取工程师职位描述：1、设计和编写直播平台数据监视、抓取的客户端软件。2、维护及更新现有的客户端软件。基础要求：1、熟悉C/C++，Linux开发经验2年以上。2、熟悉TCP/IP、Socket通信开发，熟悉HTTP/WebSocket协议，能熟练运用多种网络库。3、熟悉Web前端：HTML/CSS/Javascript、ActionScript3。4、有较强的代码阅读/分析能力。5、有爬虫类工具开发经验。加分项(需要具备至少两条)：1、有较为复杂的爬虫类、逆向分析类作品。2、有网站API抓取/分析经验。3、熟悉JS跟踪调试、Flash反编译分析。4、熟悉Android反编译/无源码调试/修改。5、熟悉网络底层，熟悉抓包分析、跟踪。6、熟悉AS3或NodeJS开发。,上海六界信息技术有限公司,"互联网, 电子商务",民营公司,,50-150人,,26/12/2017,前程无忧,http://jobs.51job.com/shanghai-xhq/96773237.html?s=01&t=0
196,数据抓取工程师,,北京,,无工作经验,,15000-20000,,0,"五险一金,补充医疗保险,交通补贴,年终奖金,弹性工作",【请注意】我们只选择投递到zhaopin@qwbcg.com邮箱的简历。工作职责：1.负责网络数据抓取工具的开发；2.网页信息抽取等核心算法的研究和优化；岗位要求：1.深入理解网络数据抓取的工作原理与工作流程2.熟悉htmldom，熟悉json，熟练使用正则表达式；3.熟练使用c#、Java、Python、php或其他任意一门适合用于抓取的语言；4.具备信息检索、web挖掘等搜索引擎相关知识，有从事网络爬虫、网页去重、网页信息抽取开发经验；5.具备1-2年开发经验6.具有数据挖掘、信息检索、机器学习背景的优先；7.具有国内垂直搜索公司工作经历优先,北京美秒科技有限公司,"互联网, 电子商务,计算机软件",民营公司,,少于50人,,26/12/2017,前程无忧,http://jobs.51job.com/beijing/65396466.html?s=01&t=0
197,"爬虫, 数据抓取工程师",,大连-沙河口区,,1年经验,,6000-8000,,2,"五险一金,绩效奖金,弹性工作,餐饮补贴",【职责描述】1.负责多平台信息爬取和页面内容的提取分析；2.优化抓取策略，充分利用带宽资源，避免限制；3.分析爬虫系统的技术缺陷，对策略架构做出合理地调整和改进。4.熟悉爬虫的应用策略和网站的防爬机制，解决各类验证码识别机制，提升网页抓取的效率和质量；5.负责多个业务网站和APP数据的数据爬取、解析、过滤，清洗、消重、结构化处理等工作，提升平台的抓取效率。【职位要求】1.有扎实的Python开发基础，熟练掌握Linux系统；2.熟悉网页抓取原理及技术，熟悉httpclient、jsoup、selenium中的一种或几种，熟悉xpath或者css选择器；3.熟练使用关系数据库(如MySQL)，有一定的数据存储经验；4.能独立解决实际开发过程碰到的各类问题；5.有过海量数据爬取、电商行业抓取经验优先；6.良好的团队合作精神和沟通能力，有参与产品、技术交流的意识。,和盛源科技发展（大连）有限公司,"计算机软件,计算机服务(系统、数据服务、维修)",民营公司,,少于50人,,27/12/2017,前程无忧,http://jobs.51job.com/dalian-shkq/94896859.html?s=01&t=0
199,数据抓取员,,重庆-九龙坡区,,无工作经验,,3000-5000,,1,,任职要求：1、本科及以上学历，统计学、社会学、经济学、心理学、市场营销、数学等专业毕业，有市场调查、市场分析、营销推广、公关传播或广告工作经验者尤佳。2、能协助进行抽样与问卷设计，精通1种及以上统计分析工具软件，如SPSS、SAS等；3、精通使用WindowsOffice下的各种办公软件；4、诚实、严谨，具备良好的沟通能力和团队合作精神；5、具备优秀的口头表达能力及心理素质。,重庆黄花园酿造调味品有限责任公司,快速消费品(食品、饮料、化妆品),民营公司,,150-500人,,26/12/2017,前程无忧,http://jobs.51job.com/chongqing-jlpq/97002935.html?s=01&t=0
200,爬虫工程师,,北京-海淀区,,2年经验,,10000-15000,,2,,"岗位职责：1、负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析，主要针对微博、新闻、论坛、微信采集；2、负责网页信息抽取、数据清洗等研发和优化工作；3、负责抓取数据的深度提取和挖掘。任职要求：1.计算机、通信及相关专业本科以上学历，精通Java，2年以上Java爬虫开发经验,具有良好的编码习惯；2.精通多线程、多进程、网络通信编程相关知识；3.熟练应用javaweb开发相关技术，必须掌握jsp、servlet、springMVC、Mybatis、easyui,jquery和ICE框架，熟练使用jsoup、httpclient、htmlunit、htmlparser和htmlcleaner等工具包。4.熟悉网页抓取原理，熟悉基于Cookie的网站登录原理，熟练基于正则表达式、XPath、CSS等网页信息抽取技术；5.熟练MySQL、Redis、Hadoop、Hbase,熟悉NoSQL技术者优先；6.熟悉分布式爬虫架构，数据挖掘经验优先。",优讯时代（北京）网络技术有限公司,"计算机服务(系统、数据服务、维修),计算机软件",合资,,150-500人,,26/12/2017,前程无忧,http://jobs.51job.com/beijing-hdq/76368446.html?s=01&t=0
203,数据抓取和数据处理工程师,,广州,,3-4年经验,大专,12000-24000,,0,"五险一金,弹性工作,年终奖金,专业培训,餐饮补贴","职位描述：1.负责大规模文本、图像、视频数据的抓取、抽取，去重、分类，垃圾过滤，质量识别等工作；2.为业务推广、销售策略、产品方向的改进，提供数据分析支持；职位要求：1.具备强悍的编码能力；2.有扎实的数据结构和算法功底；3.工作认真细致踏实，有较强的学习能力；4.熟悉linux开发环境，熟悉C++和python语言的优先；5.有爬虫，信息抽取，文本分类相关经验者优先；6.理解http，熟悉html,DOM,xpath优先；7.理解数据库原理，理解SQL性能优先；8.熟悉浏览器内核优先。",广州荔枝网络有限公司,"互联网, 电子商务,计算机软件",国企,,150-500人,,27/12/2017,前程无忧,http://jobs.51job.com/guangzhou/85700935.html?s=01&t=0
205,数据抓取,,杭州-西湖区,,2年经验,本科,10000-15000,,2,"五险一金,定期体检,员工旅游,绩效奖金,年终奖金",职责：负责各招聘渠道的数据挖掘，对各网站、手机端、新媒体核心技术研究、架构开发和维护升级研究各种网页形态，探寻特点和规律研发核心算法，设计策略优化，提升爬虫抓取效果。要求：1年以上网络爬虫研发经验，熟悉多线程编程，熟悉算法和数据结构，有人力资源招聘数据挖掘经验者优先。另招.net数据开发人员数名。西湖区，简历请发2789851087@qq.com,杭州诗迈医药科技有限公司,"制药, 生物工程,学术, 科研",民营公司,,50-150人,,27/12/2017,前程无忧,http://jobs.51job.com/hangzhou-xhq/86868217.html?s=01&t=0
